danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.527,0.304,5,-11.388,0,0.058,0.884,0.0522,0.104,0.213,89.964,204000,4,1
0.697,0.549,2,-10.002,0,0.0498,0.0771,0.77,0.105,0.41,99.979,237600,4,1
0.693,0.68,2,-8.151,1,0.233,0.156,0.383,0.131,0.437,101.989,210961,4,1
0.699,0.653,8,-5.103,1,0.0728,0.205,0.0,0.173,0.497,109.994,176727,4,1
0.689,0.577,11,-5.029,0,0.0482,0.623,0.00653,0.197,0.382,160.025,231375,3,1
0.91,0.774,0,-3.045,0,0.224,0.233,0.0,0.05,0.728,100.004,158519,4,1
0.774,0.78,8,-5.19,0,0.0461,0.344,0.0,0.0812,0.394,132.025,178100,4,1
0.582,0.834,4,-2.654,1,0.0394,0.224,2.67e-06,0.145,0.95,167.945,142411,4,1
0.705,0.743,6,-5.239,1,0.0536,0.0294,0.0,0.101,0.443,119.989,174547,4,1
0.536,0.396,10,-7.804,1,0.0687,0.604,6.97e-05,0.0969,0.491,157.846,186456,3,1
0.642,0.31,0,-9.897,1,0.0781,0.868,0.0,0.0936,0.579,161.459,167872,4,1
0.642,0.388,0,-7.807,1,0.476,0.47,0.0,0.0923,0.25,81.231,164471,4,1
0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920,4,1
0.823,0.882,3,-3.513,0,0.0556,0.688,1.7e-06,0.107,0.963,128.044,172096,4,1
0.574,0.801,0,-3.728,1,0.0393,0.58,0.0,0.496,0.77,132.538,188412,4,1
0.788,0.669,5,-6.581,1,0.0427,0.022,5.49e-06,0.0648,0.852,120.034,157007,4,1
0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,142335,3,1
0.479,0.764,2,-8.353,1,0.422,0.331,0.0,0.133,0.397,169.778,188863,4,1
0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982,189669,4,1
0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,193039,4,1
0.554,0.677,4,-6.65,1,0.0511,0.617,6.34e-05,0.341,0.943,144.96,249885,4,1
0.858,0.725,5,-3.828,0,0.0383,0.0222,3.07e-05,0.138,0.805,120.087,181667,4,1
0.85,0.562,5,-7.863,1,0.0724,0.169,3.23e-06,0.104,0.293,122.029,192787,4,1
0.724,0.856,10,-3.522,0,0.0421,0.0297,0.000351,0.104,0.596,95.011,171789,4,1
0.781,0.786,6,-5.211,0,0.0885,0.115,5.88e-06,0.107,0.759,111.989,228253,4,1
